salary,salary_in_usd,remote_ratio
11666.666666666666,11666.666666666666,66.66666666666667
50000.0,50000.0,100.0
100541.33333333334,102298.06666666667,63.333333333333336
86000.0,90546.5,66.66666666666666
263740.5,82144.25,33.5
4428825.534188034,76415.02625152624,59.584859584859586
102749.47630503145,100683.81901336479,87.67315251572327
104792.04454586947,87977.02740301233,76.53035143769968
709338.6666666667,58910.03333333334,73.33333333333334
632184.9631782946,53608.77713178295,65.2858527131783
326380.0,58453.85,68.85714285714286
911583.3333333333,123042.775,29.166666666666668
82618.33333333334,64500.76666666666,63.333333333333336
68644.3718932389,56976.987661486,70.0354121581743
77574.23240507783,59450.76900851087,70.02222185019723
73841.57846320346,71105.97518037517,55.04238816738817
78000.0,58539.0,50.0
110750.0,84048.75,75.0
100000.0,68318.0,100.0
