Année;Trimestre;Nombre d'offres diffusées
2015;T1;350700
2015;T2;404500
2015;T3;531700
2015;T4;625200
2016;T1;812900
2016;T2;886000
2016;T3;743400
2016;T4;992600
2017;T1;906800
2017;T2;979500
2017;T3;919200
2017;T4;935800
2018;T1;1535800
2018;T2;1604800
2018;T3;1793300
2018;T4;1659900
2019;T1;1864200
2019;T2;1822600
2019;T3;1991500
2019;T4;1978500
2020;T1;1788200
2020;T2;548300
2020;T3;589100
2020;T4;995100
2021;T1;2576200
2021;T2;1992500
2021;T3;1976100
2021;T4;2108500
2022;T1;2976400
2022;T2;2969600
2022;T3;2904700
2022;T4;2053400
